name,_rxn_organic-inchikey,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_solv_GBL,_solv_DMSO,_solv_DMF,_stoich_mmol_org,_stoich_mmol_inorg,_stoich_mmol_acid,_stoich_mmol_solv,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_raw_RelativeHumidity,_out_crystalscore
2019-06-10T21_14_00.866379+00_00_LBL_G7,JMXLWMIFDJCGBV-UHFFFAOYSA-N,9.647621117,0.042527261,0.9359021959999999,0,0,1,0.46795109799999995,0.021263631,4.823810558,3.5730278589999998,0.13096766,0.0059511519999999995,1.3500623980000002,0.136918812,1.486981209,0.055729439000000006,0.002532338,0.058261777,22.00711178,226.85733340000002,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,3
2019-06-10T21_14_00.866379+00_00_LBL_B7,JMXLWMIFDJCGBV-UHFFFAOYSA-N,4.972891497,1.072377383,1.155500466,0,0,1,0.5789057329999999,0.537261069,2.49141864,4.102026531,0.141126765,0.130974548,0.607362878,0.272101312,0.87946419,0.087800189,0.08148411900000001,0.169284308,1.077512901,4.637258837,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,3
2019-06-10T21_14_00.866379+00_00_LBL_D7,JMXLWMIFDJCGBV-UHFFFAOYSA-N,3.9148294760000004,0.036783393,0.36372118600000003,0,0,1,0.182224314,0.01842848,1.961329568,5.296616576,0.034403908999999996,0.003479293,0.370298575,0.037883202000000005,0.408181776,0.025106871,0.002539076,0.027645947,9.888190173,106.4292646,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,1
2019-06-10T21_14_00.866379+00_00_LBL_F7,JMXLWMIFDJCGBV-UHFFFAOYSA-N,10.52771711,0.710202436,0.888458095,0,0,1,0.445117506,0.35581142,5.27438627,3.0681119580000003,0.145078639,0.115970807,1.7190983709999998,0.261049446,1.980147817,0.05335542099999999,0.042650464000000006,0.096005885,1.2509927459999999,14.82354407,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,4
2019-06-10T21_14_00.866379+00_00_LBL_H7,JMXLWMIFDJCGBV-UHFFFAOYSA-N,4.929828373,0.096395126,1.45227635,0,0,1,0.726138175,0.048197563,2.464914186,4.413276134,0.16453495199999998,0.010921038999999999,0.558522538,0.175455991,0.733978529,0.10557110800000001,0.007007303,0.11257841099999999,15.06586912,51.1418843,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,62.9978022,1
2019-06-10T21_14_00.866379+00_00_LBL_A8,JMXLWMIFDJCGBV-UHFFFAOYSA-N,6.573104497,0.059538166,0.12958545800000001,0,0,1,0.06479272900000001,0.029769083,3.2865522489999996,4.755792072,0.013623962,0.006259543,0.6910630659999999,0.019883504,0.71094657,0.008056448,0.003701543,0.011757991,2.176510753,110.401528,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,62.9978022,1
2019-06-10T21_14_00.866379+00_00_LBL_C8,JMXLWMIFDJCGBV-UHFFFAOYSA-N,5.93699761,0.48481078,0.514226062,0,0,1,0.257113031,0.24240539,2.968498805,4.494412222,0.057207265,0.053934837,0.660486546,0.11114210199999999,0.771628648,0.03445211,0.032481345,0.066933455,1.0606737370000001,12.2460099,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,3
2019-06-10T21_14_00.866379+00_00_LBL_E8,JMXLWMIFDJCGBV-UHFFFAOYSA-N,2.809472083,0.683271333,1.107808815,0,0,1,0.553904407,0.34163566700000003,1.404736042,4.83505247,0.114560165,0.07065810900000001,0.290531706,0.185218274,0.47574998,0.088769741,0.054751161,0.143520902,1.6213307380000002,4.111795632,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,4
2019-06-10T21_14_00.866379+00_00_LBL_G8,JMXLWMIFDJCGBV-UHFFFAOYSA-N,12.90835665,0.200893916,0.610627089,0,0,1,0.305924171,0.100647852,6.467086683,2.886193627,0.10599572,0.034872176,2.2406974440000003,0.140867896,2.38156534,0.032707688,0.010760701000000001,0.043468389,3.03954993,64.25459217,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,3
2019-06-10T21_14_00.866379+00_00_LBL_B8,JMXLWMIFDJCGBV-UHFFFAOYSA-N,2.380639546,0.820552615,0.858142761,0,0,1,0.429929523,0.41109686,1.192700413,5.020059121,0.085642323,0.08189084,0.237586926,0.167533163,0.40512008899999996,0.069201056,0.066169769,0.135370825,1.045810769,2.901263736,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,4
