name,_rxn_M_acid,_rxn_M_organic,_rxn_M_inorganic,_rxn_M_solvent
0,14.842494025635457,1.0163437258166301,0.0,4.567860426911429
1,14.842494025635457,0.9560569251972879,0.171821432987475,4.467894240456939
2,14.842494025635457,0.9588747969046415,0.13745714638998,4.498016740624689
3,14.842494025635457,0.9616926686119951,0.10309285979248499,4.528139240792441
4,14.842494025635457,0.9645105403193488,0.06872857319499,4.558261740960192
5,14.842494025635457,0.9673284120267024,0.034364286597495,4.588384241127943
6,14.842494025635457,0.970146283734056,0.0,4.618506741295693
7,14.842494025635457,0.8911503803696883,0.34364286597495,4.372992685440875
8,14.842494025635457,0.8939682520770418,0.30927857937745495,4.403115185608626
9,14.842494025635457,0.8967861237843955,0.27491429277996,4.433237685776377
10,14.842494025635457,0.8996039954917491,0.240550006182465,4.463360185944127
11,14.842494025635457,0.9024218671991027,0.20618571958496998,4.493482686111879
12,14.842494025635457,0.9098594831147138,0.171821432987475,4.518540554841204
13,14.842494025635457,0.9126773548220675,0.13745714638998,4.548663055008955
14,14.842494025635457,0.915495226529421,0.10309285979248499,4.578785555176705
15,14.842494025635457,0.9183130982367746,0.06872857319499,4.608908055344457
16,14.842494025635457,0.9211309699441282,0.034364286597495,4.639030555512207
17,14.842494025635457,0.923948841651482,0.0,4.669153055679958
18,14.842494025635457,0.8308635797503461,0.515464298962425,4.273026498986384
19,14.842494025635457,0.8336814514576997,0.48110001236493,4.303148999154136
20,14.842494025635457,0.8364993231650533,0.446735725767435,4.333271499321887
21,14.842494025635457,0.8393171948724069,0.41237143916993996,4.363393999489638
22,14.842494025635457,0.8421350665797604,0.378007152572445,4.393516499657388
23,14.842494025635457,0.8449529382871142,0.34364286597495,4.4236389998251395
24,14.842494025635457,0.8477708099944677,0.30927857937745495,4.453761499992891
25,14.842494025635457,0.8505886817018213,0.27491429277996,4.483884000160641
26,14.842494025635457,0.8534065534091752,0.240550006182465,4.514006500328392
27,14.842494025635457,0.8562244251165285,0.20618571958496998,4.544129000496143
28,14.842494025635457,0.8636620410321397,0.171821432987475,4.569186869225468
29,14.842494025635457,0.8664799127394933,0.13745714638998,4.599309369393219
30,14.842494025635457,0.869297784446847,0.10309285979248499,4.62943186956097
31,14.842494025635457,0.8721156561542005,0.06872857319499,4.6595543697287205
32,14.842494025635457,0.8749335278615541,0.034364286597495,4.689676869896472
33,14.842494025635457,0.8777513995689078,0.0,4.719799370064223
34,14.842494025635457,0.7659570349227465,0.6872857319499,4.178124943970321
35,14.842494025635457,0.7687749066301001,0.6529214453524049,4.208247444138072
36,14.842494025635457,0.7715927783374535,0.6185571587549099,4.2383699443058225
37,14.842494025635457,0.7790303942530648,0.584192872157415,4.263427813035148
38,14.842494025635457,0.7818482659604182,0.54982858555992,4.293550313202898
39,14.842494025635457,0.7846661376677719,0.515464298962425,4.323672813370649
40,14.842494025635457,0.7874840093751256,0.48110001236493,4.3537953135384
41,14.842494025635457,0.7903018810824791,0.446735725767435,4.383917813706151
42,14.842494025635457,0.7931197527898328,0.41237143916993996,4.414040313873903
43,14.842494025635457,0.7959376244971863,0.378007152572445,4.444162814041653
44,14.842494025635457,0.79875549620454,0.34364286597495,4.474285314209404
45,14.842494025635457,0.8015733679118936,0.30927857937745495,4.504407814377155
46,14.842494025635457,0.8043912396192474,0.27491429277996,4.534530314544907
47,14.842494025635457,0.807209111326601,0.240550006182465,4.564652814712657
48,14.842494025635457,0.8100269830339546,0.20618571958496998,4.594775314880408
49,14.842494025635457,0.8174645989495657,0.171821432987475,4.6198331836097335
50,14.842494025635457,0.8202824706569192,0.13745714638998,4.649955683777484
51,14.842494025635457,0.8231003423642729,0.10309285979248499,4.680078183945235
52,14.842494025635457,0.8259182140716265,0.06872857319499,4.710200684112985
53,14.842494025635457,0.8287360857789801,0.034364286597495,4.7403231842807365
54,14.842494025635457,0.8315539574863337,0.0,4.770445684448488
55,14.842494025635457,0.7169417211328186,0.721650018547395,4.1986487581868355
56,14.842494025635457,0.7197595928401723,0.6872857319499,4.228771258354586
57,14.842494025635457,0.722577464547526,0.6529214453524049,4.258893758522336
58,14.842494025635457,0.7253953362548795,0.6185571587549099,4.289016258690087
59,14.842494025635457,0.7328329521704906,0.584192872157415,4.3140741274194125
60,14.842494025635457,0.7356508238778442,0.54982858555992,4.344196627587163
61,14.842494025635457,0.7384686955851978,0.515464298962425,4.374319127754914
62,14.842494025635457,0.7412865672925515,0.48110001236493,4.404441627922665
63,14.842494025635457,0.7441044389999051,0.446735725767435,4.4345641280904164
64,14.842494025635457,0.7469223107072587,0.41237143916993996,4.464686628258167
65,14.842494025635457,0.7497401824146124,0.378007152572445,4.494809128425918
66,14.842494025635457,0.752558054121966,0.34364286597495,4.524931628593669
67,14.842494025635457,0.7553759258293196,0.30927857937745495,4.5550541287614195
68,14.842494025635457,0.7581937975366733,0.27491429277996,4.585176628929171
69,14.842494025635457,0.7610116692440269,0.240550006182465,4.615299129096922
70,14.842494025635457,0.7638295409513804,0.20618571958496998,4.645421629264673
71,14.842494025635457,0.7712671568669915,0.171821432987475,4.670479497993997
72,14.842494025635457,0.7740850285743451,0.13745714638998,4.700601998161749
73,14.842494025635457,0.7769029002816987,0.10309285979248499,4.730724498329499
74,14.842494025635457,0.7797207719890523,0.06872857319499,4.76084699849725
75,14.842494025635457,0.782538643696406,0.034364286597495,4.790969498665001
76,14.842494025635457,0.7853565154037596,0.0,4.8210919988327525
77,14.842494025635457,0.6763800224649519,0.6529214453524049,4.309540072906601
