InChI Key (ID),Chemical Name,Chemical Abbreviation,Molecular Weight (g/mol),Density            (g/mL),InChI=,Chemical Category,Canonical SMILES String,Molecular Formula,PubChem ID,ECL Chemical id,ECL Product id,Catalog description,Synonyms,Catalog number,Sigma-Aldrich URL,Primary Information Source
FEUPHURYMJEUIH-UHFFFAOYSA-N,neo-Pentylammonium bromide,neoPentylammoniumBromide,168.08,1.330429,"InChI=1S/C5H13N.BrH/c1-5(2,3)4-6;/h4,6H2,1-3H3;1H",organic,CC(C)(C)C[NH3+].[Br-],C5H14BrN,87350950,,,,"2,2-Dimethylpropylazanium;bromide",greatcell: MS300740-10,,https://pubchem.ncbi.nlm.nih.gov/compound/87350950
CQWGDVVCKBJLNX-UHFFFAOYSA-N,neo-Pentylammonium iodide,neoPentylammoniumIodide,215.02,1.5556590000000001,"InChI=1S/C5H13N.HI/c1-5(2,3)4-6;/h4,6H2,1-3H3;1H",organic,[I-].CC(C)(C)C[NH3+],C5H14IN,,,,,,greatcell: MS100740-100,,https://cactus.nci.nih.gov/chemical/structure
IRAGENYJMTVCCV-UHFFFAOYSA-N,Phenethylammonium bromide,C8H12BrN,202.09,1.446421,"InChI=1S/C8H11N.BrH/c9-7-6-8-4-2-1-3-5-8;/h1-5H,6-7,9H2;1H",organic,c1ccc(cc1)CC[NH3+].[Br-],C8H12BrN,70441016,,,,,Sigma: 900829-10G,https://www.sigmaaldrich.com/catalog/product/aldrich/900829?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/70441016
UXWKNNJFYZFNDI-UHFFFAOYSA-N,"Piperazine-1,4-diium bromide",PiperazinediiumDiBromide,247.96,1.9366349999999999,"InChI=1S/C4H10N2.2BrH/c1-2-6-4-3-5-1;;/h5-6H,1-4H2;2*1H",organic,C1C[NH2+]CC[NH2+]1.[Br-].[Br-],C4H12Br2N2,,,,,,greatcell: MS319500,,
QZCGFUVVXNFSLE-UHFFFAOYSA-N,"Piperazine-1,4-diium iodide",PiperazinediiumDiodide,341.96,2.352982,"InChI=1S/C4H10N2.2HI/c1-2-6-4-3-5-1;;/h5-6H,1-4H2;2*1H",organic,[I-].[I-].C1C[NH2+]CC[NH2+]1,,,,,,,,,https://cactus.nci.nih.gov/chemical/structure/%5BI-%5D.%5BI-%5D.C1C%5BNH2+%5DCC%5BNH2+%5D1/stdinchikey
HBPSMMXRESDUSG-UHFFFAOYSA-N,Piperidinium Iodide,PiperidiniumIodide,213.06,1.7209830000000002,"InChI=1S/C5H11N.HI/c1-2-4-6-5-3-1;/h6H,1-5H2;1H",organic,C1CC[NH2+]CC1.[I-],C5H12IN,15533240,,,,,MS119800-10,,https://pubchem.ncbi.nlm.nih.gov/compound/15533240
IMROMDMJAWUWLK-UHFFFAOYSA-N,"Poly(vinyl alcohol), Mw89000-98000, >99% hydrolyzed)",PVA,"92,000.00",1234.56,"1S/C2H4O/c1-2-3/h2-3H,1H2",polymer,C{-}(OC(=O)C)C{n+},C2H4O,,,,,,Sigma: 341584-25G,https://www.sigmaaldrich.com/catalog/product/ALDRICH/341584?lang=en&\region=US&cm_sp=Insite-_-prodRecCold_xviews-_-prodRecCold5-3,
QNBVYCDYFJUNLO-UHDJGPCESA-N,Pralidoxime iodide,PralidoximeIodide,264.07,1.850877,"InChI=1S/C7H8N2O.HI/c1-9-5-3-2-4-7(9)6-8-10;/h2-6H,1H3;1H/b7-6+;",organic,CN1C=CC=CC1=C[NH+]=O.[I-],C7H9IN2O,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/pralidoxime_iodide#section=Names-and-Identifiers
KFXBDBPOGBBVMC-UHFFFAOYSA-N,"Propane-1,3-diammonium iodide",Propane13diammoniumIodide,329.95,2.10244,InChI=1S/C3H10N2.HI/c4-2-1-3-5;/h1-5H2;1H/p+1,organic,[NH3+]CCC[NH3+].[I-].[I-],C3H12IN2,,,,,,,,
VFDOIPKMSSDMCV-UHFFFAOYSA-N,Pyrrolidinium Bromide,pyrrolidiniumBromide,152.03,1.587983,"InChI=1S/C4H9N.BrH/c1-2-4-5-3-1;/h5H,1-4H2;1H",organic,C1CC[NH2+]C1.[Br-],C4H10BrN,18621471,,,,,greatcell: MS319700-10,,https://pubchem.ncbi.nlm.nih.gov/compound/18621471
DMFMZFFIQRMJQZ-UHFFFAOYSA-N,Pyrrolidinium Iodide,PyrrolidiniumIodide,199.04,1.8835400000000002,"InChI=1S/C4H9N.HI/c1-2-4-5-3-1;/h5H,1-4H2;1H",organic,C1CC[NH2+]C1.[I-],C4H10IN,,,,,,greatcell: MS119700-100,,https://pubchem.ncbi.nlm.nih.gov/compound/11159941
DYEHDACATJUKSZ-UHFFFAOYSA-N,Quinuclidin-1-ium bromide,QuinuclidiniumBromide,192.10,1.422151,"InChI=1S/C7H13N.BrH/c1-4-8-5-2-7(1)3-6-8;/h7H,1-6H2;1H",organic,C1C[NH+]2CCC1CC2.[Br-],C7H14BrN,66608461,,,,1-Azoniabicyclo[2.2.2]octane;bromide,greatcell: MS329300,,https://pubchem.ncbi.nlm.nih.gov/compound/66608461
LYHPZBKXSHVBDW-UHFFFAOYSA-N,Quinuclidin-1-ium iodide,QuinuclidiniumIodide,239.10,1.617795,"InChI=1S/C7H13N.HI/c1-4-8-5-2-7(1)3-6-8;/h7H,1-6H2;1H",organic,C1C[NH+]2CCC1CC2.[I-],,,,,,,,,https://cactus.nci.nih.gov/chemical/structure/%5BI-%5D.C1C%5BNH+%5D2CCC1CC2/stdinchikey
UXYJHTKQEFCXBJ-UHFFFAOYSA-N,tert-Octylammonium iodide,TertOctylammoniumIodide,257.16,1.304114,"InChI=1S/C8H19N.HI/c1-7(2,3)6-8(4,5)9;/h6,9H2,1-5H3;1H",organic,C(CC(C)(C)[NH3+])(C)(C)C.[I-],C8H20IN,,,,,,,,
BJDYCCHRZIFCGN-UHFFFAOYSA-N,Pyridinium Iodide,PyridiniumIodide,207.01,2.051533,InChI=1S/C5H5N.HI/c1-2-4-6-5-3-1;/h1-5H;1H,organic,C1=CC=[NH+]C=C1.[I-],C5H6IN,6432201,,,,,,,
ZEVRFFCPALTVDN-UHFFFAOYSA-N,Cyclohexylmethylammonium iodide,CyclohexylmethylammoniumIodide,241.11,1.5050139999999999,"InChI=1S/C7H15N.HI/c1-8-7-5-3-2-4-6-7;/h7-8H,2-6H2,1H3;1H",organic,C1CCC(CC1)C[NH3+].[I-],C7H16IN,129790872,,,,,,,
WGYRINYTHSORGH-UHFFFAOYSA-N,Cyclohexylammonium iodide,CyclohexylammoniumIodide,227.09,1.6059510000000001,"InChI=1S/C6H13N.HI/c7-6-4-2-1-3-5-6;/h6H,1-5,7H2;1H",organic,C1CCC(CC1)[NH3+].[I-],C6H14IN,89524541,,,,,,,
XZUCBFLUEBDNSJ-UHFFFAOYSA-N,"Butane-1,4-diammonium Iodide",Butane14diammoniumIodide,343.98,2.203123,InChI=1S/C4H12N2.2HI/c5-3-1-2-4-6;;/h1-6H2;2*1H,organic,C(CC[NH3+])C[NH3+].[I-].[I-],C4H14I2N2,,,,,,,,
RYYSZNVPBLKLRS-UHFFFAOYSA-N,"1,4-Benzene diammonium iodide",Benzenediaminedihydroiodide,363.97,2.340659,"InChI=1S/C6H8N2.2HI/c7-5-1-2-6(8)4-3-5;;/h1-4H,7-8H2;2*1H",organic,C1=CC(=CC=C1[NH3+])[NH3+].[I-].[I-],C6H10I2N2,129655325,,,,,,,
DWOWCUCDJIERQX-UHFFFAOYSA-M,5-Azaspiro[4.4]nonan-5-ium iodide,5Azaspironoiodide,253.12,1.527018,InChI=1S/C8H16N.HI/c1-2-6-9(5-1)7-3-4-8-9;/h1-8H2;1H/q+1;/p-1,organic,C1CC[N+]2(C1)CCCC2.[I-],C8H16IN,86209376,,,,,,,
YYMLRIWBISZOMT-UHFFFAOYSA-N,Diethylammonium iodide,Diethylammoniumiodide,201.05,1.6769319999999999,"InChI=1S/C4H11N.HI/c1-3-5-4-2;/h5H,3-4H2,1-2H3;1H",organic,CC[NH2+]CC.[I-],C4H12IN,88320434,,,,,,,
UVLZLKCGKYLKOR-UHFFFAOYSA-N,2-Pyrrolidin-1-ium-1-ylethylammonium iodide,2Pyrrolidin1ium1ylethylammoniumiodide,370.02,2.078859,InChI=1S/C6H14N2.2HI/c7-3-6-8-4-1-2-5-8;;/h1-7H2;2*1H,organic,C1CC[NH+](C1)CC[NH3+].[I-].[I-],C6H16I2N2,,,,,,,,
BAMDIFIROXTEEM-UHFFFAOYSA-N,"N,N-Dimethylethane-1,2-diammonium iodide",NNDimethylethane12diammoniumiodide,343.98,2.180165,"InChI=1S/C4H12N2.2HI/c1-6(2)4-3-5;;/h3-5H2,1-2H3;2*1H",organic,C[NH+](C)CC[NH3+].[I-].[I-],C4H14I2N2,,,,,,,,
JERSPYRKVMAEJY-UHFFFAOYSA-N,"N,N-dimethylpropane-1,3-diammonium iodide",NNdimethylpropane13diammoniumiodide,358.01,2.053208,"InChI=1S/C5H14N2.2HI/c1-7(2)5-3-4-6;;/h3-6H2,1-2H3;2*1H",organic,C[NH+](C)CCC[NH3+].[I-].[I-],C5H16I2N2,,,,,,,,
NXRUEVJQMBGVAT-UHFFFAOYSA-N,"N,N-Diethylpropane-1,3-diammonium iodide",NNDiethylpropane13diammoniumiodide,386.06,1.8482180000000001,"InChI=1S/C7H18N2.2HI/c1-3-9(4-2)7-5-6-8;;/h3-8H2,1-2H3;2*1H",organic,CC[NH+](CC)CCC[NH3+].[I-].[I-],C7H20I2N2,,,,,,,,
PBGZCCFVBVEIAS-UHFFFAOYSA-N,Di-isopropylammonium iodide,Diisopropylammoniumiodide,229.10,1.454266,"InChI=1S/C6H15N.HI/c1-5(2)7-6(3)4;/h5-7H,1-4H3;1H",organic,CC(C)[NH2+]C(C)C.[I-],C6H16IN,517666,,,,,,,
QNNYEDWTOZODAS-UHFFFAOYSA-N,4-methoxy-phenethylammonium-iodide,4methoxyphenethylammoniumiodide,279.12,1.566776,"InChI=1S/C9H13NO.HI/c1-11-9-4-2-8(3-5-9)6-7-10;/h2-5H,6-7,10H2,1H3;1H",organic,[I-].[NH3+](CCC1=CC=C(C=C1)OC),,,,,,,,,
WGWKNMLSVLOQJB-UHFFFAOYSA-N,Iso-Propylammonium Bromide ,IPABr,140.02,1.8419349999999999,"InChI=1S/C3H9N.BrH/c1-3(2)4;/h3H,4H2,1-2H3;1H",organic,CC(C)[NH3+].[Br-],C3H10BrN,22495069,,,,,,,
YDUCBKSFOWFMMQ-UHFFFAOYSA-N,4-Trifluoromethyl-Phenylammonium Bromide,4TrifluoromethylPhenylammoniumBromide,242.04,1.8927,"InChI=1S/C7H6F3N.BrH/c8-7(9,10)5-1-3-6(11)4-2-5;/h1-4H,11H2;1H",organic,C1(=CC=C(C=C1)C(F)(F)F)[NH3+].[Br-],C7H7BrF3N,,,,,,,,
BVJOXYJFOYNQRB-UHFFFAOYSA-N,Morpholinium Bromide,MorpholiniumBromide,168.03,1.6323,"InChI=1S/C4H9NO.BrH/c1-3-6-4-2-5-1;/h5H,1-4H2;1H",organic,C1COCC[NH2+]1.[Br-],C4H10BrNO,57498396,,,,,,,
LBEXWMLYXHXELS-UHFFFAOYSA-N,Cyclohexylmethylammonium Bromide,CyclohexylmethylammoniumBromide,194.12,1.3266,"InChI=1S/C7H15N.BrH/c8-6-7-4-2-1-3-5-7;/h7H,1-6,8H2;1H",organic,[NH3+]CC1CCCCC1.[Br-],C7H16BrN,,,,,,,,
QIDAXQPTQFYPDP-UHFFFAOYSA-N,"N,N-dimethylpropane-1,3-diammonium Bromide",NNdimethylpropaneDiammoniumBromide,264.01,1.69,"InChI=1S/C5H14N2.2BrH/c1-7(2)5-3-4-6;;/h3-6H2,1-2H3;2*1H",organic,C[NH+](C)CCC[NH3+].[Br-].[Br-],C5H16Br2N2,,,,,,,,
FPPIGJMXVSXJPF-UHFFFAOYSA-N,2-Pyrrolidin-1-ium-1-ylethylammonium bromide,2Pyrrolidin1ium1ylethylammoniumbromide,276.02,1.73,InChI=1S/C6H14N2.2BrH/c7-3-6-8-4-1-2-5-8;;/h1-7H2;2*1H,organic,[NH3+]CC[NH+]1CCCC1.[Br-].[Br-],C6H16Br2N2,,,,,,,,
KTHOOQOVVOZMIG-UHFFFAOYSA-N,"1,4-Benzenediammonium bromide",BenzenediammoniumBromide,269.97,1.9594,"InChI=1S/C6H8N2.2BrH/c7-5-1-2-6(8)4-3-5;;/h1-4H,7-8H2;2*1H",organic,[NH3+]c1ccc([NH3+])cc1.[Br-].[Br-],C6H10Br2N2,,,,,,,,
UTDOJTBJZVYMNB-UHFFFAOYSA-N,"Butane-1,4-diammonium bromide",ButanediammoniumBromide,249.98,1.8038,InChI=1S/C4H12N2.2BrH/c5-3-1-2-4-6;;/h1-6H2;2*1H,organic,[NH3+]CCCC[NH3+].[Br-].[Br-],C4H14Br2N2,,,,,,,,
KIJXMUOJNZXYHU-UHFFFAOYSA-N,Di-iso-Propylammonium bromide,DiIsoPropylammoniumBromide,182.11,1.2651,"InChI=1S/C6H15N.BrH/c1-5(2)7-6(3)4;/h5-7H,1-4H3;1H",organic,CC(C)[NH2+]C(C)C.[Br-],C6H16BrN,,,,,,,,
AATGHKSFEUVOPF-UHFFFAOYSA-N,Diethylammonium bromide,DiethylammoniumBromide,154.05,1.4107,"InChI=1S/C4H11N.BrH/c1-3-5-4-2;/h5H,3-4H2,1-2H3;1H",organic,CC[NH2+]CC.[Br-],C4H12BrN,,,,,,,,
MDXXRKKHSWLPQO-UHFFFAOYSA-N,"N,N-Dimethylethane-1,2-diammonium bromide",NNDimethylethaneDiammoniumBromide,249.98,1.7831,"InChI=1S/C4H12N2.2BrH/c1-6(2)4-3-5;;/h3-5H2,1-2H3;2*1H",organic,CC[NH+](CC)CC[NH3+].[Br-].[Br-],C4H14Br2N2,,,,,,,,
XSYPBULLQGGYPJ-UHFFFAOYSA-N,"Hexane-1,6-diammonium bromide",HexaneDiammoniumBromide,278.03,1.6276,InChI=1S/C6H16N2.2BrH/c7-5-3-1-2-4-6-8;;/h1-8H2;2*1H,organic,[NH3+]CCCCCC[NH3+].[Br-].[Br-],C6H18Br2N2,,,,,,,,
NKMWCZULQZETPE-UHFFFAOYSA-N,4-Trifluoromethyl-Benzylammonium bromide,TrifluoromethylBenzylammoniumBromide,256.07,2.4065,"InChI=1S/C8H8F3N.BrH/c9-8(10,11)7-3-1-6(5-12)2-4-7;/h1-4H,5,12H2;1H",organic,C1(=CC=C(C=C1)C(F)(F)F)C[NH3+].[Br-],C8H9BrF3N,,,,,,,,
PHIMWJYSMVBDPA-UHFFFAOYSA-N,4-Fluoro- Benzylammonium bromide,4FluoroBenzylammoniumBromide,206.06,2.944893,"InChI=1S/C7H8FN.BrH/c8-7-3-1-6(5-9)2-4-7;/h1-4H,5,9H2;1H",organic,[NH3+]Cc1ccc(F)cc1.[Br-],,,,,,,,,
ORNUPOUGVYVYHV-UHFFFAOYSA-N,4-Fluoro-Phenethylammonium bromide,4FluoroPhenethylammoniumBromide,220.09,2.846364,"InChI=1S/C8H10FN.BrH/c9-8-3-1-7(2-4-8)5-6-10;/h1-4H,5-6,10H2;1H",organic,[NH3+]CCc1ccc(F)cc1.[Br-],,,,,,,,,
UFXSFFZUFGPRAI-UHFFFAOYSA-N,4-Fluoro-Phenylammonium bromide,4FluoroPhenBromide,192.03,3.066623,"InChI=1S/C6H6FN.BrH/c7-5-1-3-6(8)4-2-5;/h1-4H,8H2;1H",organic,[NH3+]c1ccc(F)cc1.[Br-],,,,,,,,,
ZMSVLPNLFXWMKL-UHFFFAOYSA-N,4-methoxy-phenethylammonium-bromide,4MethoxyPhenethylammoniumBromide,232.12,2.697986,"InChI=1S/C9H13NO.BrH/c1-11-9-4-2-8(3-5-9)6-7-10;/h2-5H,6-7,10H2,1H3;1H",organic,COc1ccc(CC[NH3+])cc1.[Br-],,,,,,,,,
RJMOZBXAFVSKRY-UHFFFAOYSA-N,4-Methoxy-Phenylammonium bromide,4MethoxyPhenylammoniumBromide,204.07,2.855279,"InChI=1S/C7H9NO.BrH/c1-9-7-4-2-6(8)3-5-7;/h2-5H,8H2,1H3;1H",organic,COc1ccc([NH3+])cc1.[Br-],,,,,,,,,
QOHWJRRXQPGIQW-UHFFFAOYSA-N,Cyclohexylammonium bromide,CyclohexylammoniumBromide,180.09,2.666702,"InChI=1S/C6H13N.BrH/c7-6-4-2-1-3-5-6;/h6H,1-5,7H2;1H",organic,[NH3+]C1CCCCC1.[Br-],,,,,,,,,
FFJMLWSZNCJCSZ-UHFFFAOYSA-N,Dimethylammonium bromide,Me2NH2Br,126.00,2.9411560000000003,"InChI=1S/C2H7N.BrH/c1-3-2;/h3H,1-2H3;1H",organic,C[NH2+]C.[Br-],,,,,,,,,
VWUCIBOKNZGWLX-UHFFFAOYSA-N,Imidazolium bromide,IDBr,148.99,3.267861,"InChI=1S/C3H4N2.BrH/c1-2-5-3-4-1;/h1-3H,(H,4,5);1H",organic,c1c[nH+]c[nH]1.[Br-],,,,,,,,,
OJOMXIACRLGDRB-UHFFFAOYSA-N,iso-Pentylammonium bromide,IsoPentylammoniumBromide,168.08,2.604508,"InChI=1S/C5H13N.BrH/c1-5(2)3-4-6;/h5H,3-4,6H2,1-2H3;1H",organic,CC(C)CC[NH3+].[Br-],,,,,,,,,
SXGBREZGMJVYRL-UHFFFAOYSA-N,n-Butylammonium bromide,n-BtBr,154.05,2.6922080000000004,"InChI=1S/C4H11N.BrH/c1-2-3-4-5;/h2-5H2,1H3;1H",organic,CCCC[NH3+].[Br-],,,,,,,,,
ZLSVALLKHLKICA-UHFFFAOYSA-N,n-Hexylammonium bromide,NHexylammoniumBromide,182.11,2.541042,"InChI=1S/C6H15N.BrH/c1-2-3-4-5-6-7;/h2-7H2,1H3;1H",organic,CCCCCC[NH3+].[Br-],,,,,,,,,
GIDDQKKGAYONOU-UHFFFAOYSA-N,n-Octylammonium bromide,NOctylammoniumBromide,210.16,2.4430810000000003,"InChI=1S/C8H19N.BrH/c1-2-3-4-5-6-7-8-9;/h2-9H2,1H3;1H",organic,CCCCCCCC[NH3+].[Br-],,,,,,,,,
MVYQJCPZZBFMLF-UHFFFAOYSA-N,N-propylammonium bromide,NPropylammoniumBromide,140.02,2.802504,"InChI=1S/C3H9N.BrH/c1-2-3-4;/h2-4H2,1H3;1H",organic,CCC[NH3+].[Br-],,,,,,,,,
WIEDADHWBFYIRI-UHFFFAOYSA-N,"N,N-Diethylpropane-1,3-diammonium bromide",NNDiethylpropaneDiammoniumBromide,292.06,2.822177,"InChI=1S/C7H18N2.2BrH/c1-3-9(4-2)7-5-6-8;;/h3-8H2,1-2H3;2*1H",organic,CC[NH+](CC)CCC[NH3+].[Br-].[Br-],,,,,,,,,
KBPWECBBZZNAIE-UHFFFAOYSA-N,Phenylammonium bromide,PhenylammoniumBromide,174.04,2.91777,"InChI=1S/C6H7N.BrH/c7-6-4-2-1-3-5-6;/h1-5H,7H2;1H",organic,[NH3+]c1ccccc1.[Br-],,,,,,,,,
BBFCIBZLAVOLCF-UHFFFAOYSA-N,Pyridinium bromide,PyridiniumBromide,160.01,3.043198,InChI=1S/C5H5N.BrH/c1-2-4-6-5-3-1;/h1-5H;1H,organic,c1cc[nH+]cc1.[Br-],,,,,,,,,
CQKAPARXKPTKBK-UHFFFAOYSA-N,t-Butylammonium bromide,TButylammoniumBromide,154.05,2.687563,"InChI=1S/C4H11N.BrH/c1-4(2,3)5;/h5H2,1-3H3;1H",organic,CC(C)(C)[NH3+].[Br-],,,,,,,,,
GDLPVSVSDKCFKN-UHFFFAOYSA-N,tert-Octylammonium bromide,TOctylammoniumBromide,210.16,2.433206,"InChI=1S/C8H19N.BrH/c1-7(2,3)6-8(4,5)9;/h6,9H2,1-5H3;1H",organic,CC(C)(C)CC(C)(C)[NH3+].[Br-],,,,,,,,,
XAZUEHTWFIPWFR-UHFFFAOYSA-N,2-Methoxyethylammonium bromide,2MethoxyEthylammoniumBromide,156.02,2.861683,"InChI=1S/C3H9NO.BrH/c1-5-3-2-4;/h2-4H2,1H3;1H",organic,COCC[NH3+].[Br-],,,,,,,,,
VVDUZZGYBOWDSQ-UHFFFAOYSA-M,"N,N-Dimethylmethyleneammonium iodide",NNDimethylmethyleneammoniumIodide,185.01,1.96,"InChI=1S/C3H8N.HI/c1-4(2)3;/h1H2,2-3H3;1H/q+1;/p-1",organic,C[N+](=C)C.[I-],C3H8IN,2724133,,,,,,,
YRRZGBOZBIVMJT-UHFFFAOYSA-N,2-Fluoroethylamine hydrochloride,2Fluoroethylaminehydrochloride,99.53,1.38,"InChI=1S/C2H6FN.ClH/c3-1-2-4;/h1-2,4H2;1H",organic,C(CF)N.Cl,C2H7ClFN,9995,,,,,,,
VJPPXKBLHHCXLG-UHFFFAOYSA-N,2-(2-Naphthyl)ethylamine hydrochloride,Naphthylethylaminehydrochloride,207.70,,"InChI=1S/C12H13N.ClH/c13-8-7-10-5-6-11-3-1-2-4-12(11)9-10;/h1-6,9H,7-8,13H2;1H",organic,C1=CC=C2C=C(C=CC2=C1)CCN.Cl,C12H14ClN,16218122,,,,,,,
IFVIWWQMNYZYFQ-UHFFFAOYSA-M,Iodomethyltrimethylammonium iodide,Iodomethyltrimethylammoniumiodide,326.95,2.59,"InChI=1S/C4H11IN.HI/c1-6(2,3)4-5;/h4H2,1-3H3;1H/q+1;/p-1",organic,C[N+](C)(C)CI.[I-],C4H11I2N,38328,,,,,,,
XLYOFNOQVPJJNP-UHFFFAOYSA-N,Water,H2O,18.02,1.0,InChI=1S/H2O/h1H2,inorganic,O,H2O,962,,,,,,,
BEZANEDYKZXSCF-UHFFFAOYSA-M,1-Butyl-1-methylpyrrolidinium iodide,1Butyl1methylpyrrolidiniumiodide,269.17,3.073919,"InChI=1S/C9H20N.HI/c1-3-4-7-10(2)8-5-6-9-10;/h3-9H2,1-2H3;1H/q+1;/p-1",organic,CCCC[N+]1(CCCC1)C.[I-],C9H20IN,11076461,,,,,,,
QZTGNBUTHRNAPP-UHFFFAOYSA-N,Diethanolammonium iodide,Diethanolammoniumiodide,233.05,3.897607,"InChI=1S/C4H11NO2.HI/c6-3-1-5-2-4-7;/h5-7H,1-4H2;1H",organic,C(CO)NCCO.I,C4H12INO2,141577025,,,,,,,
