,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent7 (ul),_rxn_M_inorganic,_rxn_M_organic,_rxn_M_acid,_rxn_organic-inchikey,_rxn_mixingtime1S,_rxn_mixingtime2S,_rxn_reactiontimeS,_rxn_stirrateRPM,_rxn_temperatureC
192,271,150,79,0,0.5579999999999998,0.92,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
193,281,100,119,0,0.3719999999999999,0.92,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
194,290,50,160,0,0.18599999999999994,0.92,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
195,300,0,200,0,0.0,0.92,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
196,321,150,29,0,0.5579999999999998,0.69,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
197,331,100,69,0,0.3719999999999999,0.69,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
198,340,50,110,0,0.18599999999999994,0.69,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
199,350,0,150,0,0.0,0.69,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
200,381,100,19,0,0.3719999999999999,0.46,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
201,390,50,60,0,0.18599999999999994,0.46,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
202,400,0,100,0,0.0,0.46,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
203,440,50,10,0,0.18599999999999994,0.23,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
204,450,0,50,0,0.0,0.23,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
205,500,0,0,0,0.0,0.0,0.0,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
