,Filename,Model name,Category,Selection,BCR,Setting
0,non_meta_results/local/ALHk_random_svc.pkl,svc,ALHk,random,4.538973892209453,"{'kernel': 'poly', 'C': 0.01, 'degree': 1, 'gamma': 'auto', 'tol': 0.001, 'decision_function_shape': 'ovo', 'break_ties': False, 'class_weight': {0: 0.1, 1: 0.9}, 'probability': True}"
1,non_meta_results/local/Hkx_random_knn.pkl,knn,Hkx,random,0.7198200277975434,"{'n_neighbors': 1, 'leaf_size': 1, 'p': 1}"
2,non_meta_results/local/kx_success_lr.pkl,lr,kx,success,0.8039736637878276,"{'penalty': 'l2', 'dual': False, 'tol': 0.0001, 'C': 0.2, 'solver': 'liblinear', 'max_iter': 4000, 'class_weight': 'balanced'}"
3,non_meta_results/local/ALk_success_rf.pkl,rf,ALk,success,5.560415796738907,"{'n_estimators': 100, 'criterion': 'gini', 'max_depth': 1, 'max_features': 'auto', 'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 2, 'ccp_alpha': 0.0, 'class_weight': {0: 0.05, 1: 0.95}}"
4,non_meta_results/local/Hkx_random_gbc.pkl,gbc,Hkx,random,0.7135431347632353,"{'loss': 'deviance', 'learning_rate': 0.1, 'n_estimators': 100, 'criterion': 'friedman_mse', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'ccp_alpha': 0.0}"
5,non_meta_results/local/Hkx_random_dt_results.pkl,dt,Hkx,random,0.7218899773251968,"{'criterion': 'gini', 'splitter': 'best', 'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 3, 'class_weight': {0: 0.3255102040816326, 1: 0.6744897959183673}}"
6,non_meta_results/local/kx_random_knn.pkl,knn,kx,random,0.7198200277975434,"{'n_neighbors': 1, 'leaf_size': 1, 'p': 1}"
7,non_meta_results/local/H_success_rf.pkl,rf,H,success,0.5155482596435478,"{'n_estimators': 100, 'criterion': 'gini', 'max_depth': 1, 'max_features': 'auto', 'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 7, 'ccp_alpha': 0.0, 'class_weight': {0: 0.19693877551020406, 1: 0.8030612244897959}}"
8,non_meta_results/local/Hkx_random_rf_results.pkl,rf,Hkx,random,0.70857490279678,"{'n_estimators': 100, 'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'bootstrap': True, 'min_samples_leaf': 3, 'min_samples_split': 4, 'ccp_alpha': 0.0, 'class_weight': {0: 0.14183673469387753, 1: 0.8581632653061224}}"
9,non_meta_results/local/ALHk_random_lr.pkl,lr,ALHk,random,5.946339102036378,"{'penalty': 'l2', 'dual': False, 'tol': 0.0001, 'C': 0.1, 'solver': 'lbfgs', 'max_iter': 4000, 'class_weight': {0: 0.05, 1: 0.95}}"
10,non_meta_results/local/Hkx_random_dt.pkl,dt,Hkx,random,0.7266472162623014,"{'criterion': 'gini', 'splitter': 'best', 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 1, 'class_weight': {0: 0.12346938775510204, 1: 0.8765306122448979}}"
11,non_meta_results/local/ALk_success_svc.pkl,svc,ALk,success,4.5,"{'kernel': 'poly', 'C': 0.01, 'degree': 1, 'gamma': 'auto', 'tol': 0.001, 'decision_function_shape': 'ovo', 'break_ties': False, 'class_weight': {0: 0.1, 1: 0.9}, 'probability': True}"
12,non_meta_results/local/H_random_lr.pkl,lr,H,random,0.5099201967355402,"{'penalty': 'l2', 'dual': False, 'tol': 0.0001, 'C': 0.1, 'solver': 'saga', 'max_iter': 7000, 'class_weight': {0: 0.6010204081632653, 1: 0.3989795918367347}}"
13,non_meta_results/local/H_success_lr.pkl,lr,H,success,0.5099201967355401,"{'penalty': 'l2', 'dual': False, 'tol': 0.0001, 'C': 0.2, 'solver': 'sag', 'max_iter': 5000, 'class_weight': {0: 0.8030612244897959, 1: 0.1969387755102041}}"
14,non_meta_results/local/ALHk_random_rf.pkl,rf,ALHk,random,4.5,"{'n_estimators': 100, 'criterion': 'gini', 'max_depth': 1, 'max_features': 'auto', 'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 2, 'ccp_alpha': 0.0, 'class_weight': {0: 0.05, 1: 0.95}}"
15,non_meta_results/local/H_random_rf.pkl,rf,H,random,0.514011795989407,"{'n_estimators': 100, 'criterion': 'gini', 'max_depth': 1, 'max_features': 'auto', 'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 7, 'ccp_alpha': 0.0, 'class_weight': {0: 0.19693877551020406, 1: 0.8030612244897959}}"
16,non_meta_results/local/H_random_knn.pkl,knn,H,random,0.6117581385616152,"{'n_neighbors': 3, 'leaf_size': 1, 'p': 1}"
17,non_meta_results/local/kx_success_rf.pkl,rf,kx,success,0.8025188431753717,"{'n_estimators': 100, 'criterion': 'gini', 'max_depth': 1, 'max_features': 'auto', 'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 2, 'ccp_alpha': 0.0, 'class_weight': 'balanced'}"
