name,_rxn_organic-inchikey,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_solv_GBL,_solv_DMSO,_solv_DMF,_stoich_mmol_org,_stoich_mmol_inorg,_stoich_mmol_acid,_stoich_mmol_solv,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_raw_RelativeHumidity,_out_crystalscore
2018-07-06T15_40_16.425303+00_00_LBL_E2,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.695444935,0.436232182,0.885585011,1,0,0,0.592456373,0.29183933,4.479252661,5.571305872,0.106340665,0.052382572,0.803986132,0.158723237,0.962709369,0.058947607,0.029037126,0.087984732,2.03007721,15.34835165,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,4
2018-07-06T15_40_16.425303+00_00_LBL_G2,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.695444935,0.518230713,1.466568229,1,0,0,0.981134145,0.346696347,4.479252661,5.091879348,0.192686055,0.068088091,0.879685545,0.260774147,1.140459692,0.102509729,0.036223129,0.138732857,2.829952362,12.919815,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,4
2018-07-06T15_40_16.425303+00_00_LBL_B2,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.425322089,0.360726444,1.037915004,1,0,0,0.685023902,0.238079453,4.240712579,5.522188225,0.124049358,0.043113245,0.767940607,0.167162603,0.93510321,0.070166021,0.024386139,0.09455216,2.877291143,17.81217371,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,1
2018-07-06T15_40_16.425303+00_00_LBL_D2,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.987182912,0.310237032,0.702418039,1,0,0,0.476941849,0.210650945,4.744297197,5.776964887,0.082559243,0.036463948,0.821243904,0.119023191,0.940267095,0.045331239,0.020021452,0.065352691,2.264133441,22.52207889,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,1
2018-07-06T15_40_16.425303+00_00_LBL_F2,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.685451733,0.476519162,1.077620958,1,0,0,0.722006042,0.319267838,4.479252661,5.415615422,0.133319297,0.058953196,0.827099473,0.192272493,1.019371966,0.072967728,0.032266003,0.10523373,2.261443074,14.02976474,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,4
2018-07-06T15_40_16.425303+00_00_LBL_H2,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.705468056,0.395824583,1.23964415,1,0,0,0.828082292,0.264410821,4.479252661,5.326740272,0.155457606,0.049638392,0.840899393,0.205095998,1.045995391,0.084446552,0.026964207,0.111410759,3.131801822,16.94050432,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,1,22.85,-1,4
2018-07-06T15_40_16.425303+00_00_LBL_A3,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.364291294,0.236768887,0.874110731,1,0,0,0.575164861,0.155793928,4.187703672,5.722716677,0.100505563,0.027223771,0.731768478,0.127729334,0.859497812,0.058036374,0.015720214,0.073756588,3.691831052,26.87976179,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,1,22.85,-1,1
2018-07-06T15_40_16.425303+00_00_LBL_C3,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.900567806,0.235333356,0.529498274,1,0,0,0.357940833,0.159085349,4.664783837,5.95760362,0.060081344,0.026702909,0.782996677,0.086784253,0.86978093,0.033696835,0.014976421,0.048673256,2.249992443,29.3225232,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,1
2018-07-06T15_40_16.425303+00_00_LBL_E3,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.636047607,0.401352687,1.092439042,1,0,0,0.728656841,0.267702242,4.426243754,5.445522001,0.133808447,0.04916007,0.812822674,0.182968517,0.995791191,0.073812209,0.027117969,0.100930179,2.721892931,16.534205,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,3
2018-07-06T15_40_16.425303+00_00_LBL_G3,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.66579073,0.482873143,1.743194678,1,0,0,1.164454045,0.322559259,4.452748208,4.914449534,0.236944959,0.065634871,0.90605228,0.30257983,1.20863211,0.124311889,0.034434979,0.158746868,3.610046871,13.80443462,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,4
