,name,_rxn_organic-inchikey,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_solv_GBL,_solv_DMSO,_solv_DMF,_stoich_mmol_org,_stoich_mmol_inorg,_stoich_mmol_acid,_stoich_mmol_solv,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_raw_RelativeHumidity,_out_crystalscore
75,2019-08-28T12_41_25.009802+00_00_LBL_G5,KFXBDBPOGBBVMC-UHFFFAOYSA-N,3.643042429,0.502277217,0.548207653,0,0,1,0.275200242,0.252143163,1.8288073,4.790261073,0.057449945999999995,0.052636622,0.38177612299999997,0.11008656900000001,0.491862691,0.041576885,0.038093452,0.07967033700000001,1.091444393,7.253051311,105,12600,9.74,45.32,33.72,4.51,5.16,19.68,2.89,8.91,9.18,162.05,240.84,142.53,98.31,43.22,197.61,55.28,0,2,2,76.142,2,16,5,0,escalate_MathematicaUniformRandom_1,1,0,0,16.86,22.52265625,1
76,2019-08-28T12_41_25.009802+00_00_LBL_A3,KFXBDBPOGBBVMC-UHFFFAOYSA-N,2.230835775,0.328300259,1.3345523879999999,0,0,1,0.665941641,0.163821829,1.113187052,4.39365502,0.15156894199999998,0.037286002,0.25336241600000003,0.188854944,0.44221736,0.12092986,0.029748779,0.150678639,4.065036052,6.795108185,105,12600,9.74,45.32,33.72,4.51,5.16,19.68,2.89,8.91,9.18,162.05,240.84,142.53,98.31,43.22,197.61,55.28,0,2,2,76.142,2,16,5,0,escalate_MathematicaUniformRandom_1,1,0,1,16.86,22.52265625,1
77,2019-08-28T12_41_25.009802+00_00_LBL_E8,KFXBDBPOGBBVMC-UHFFFAOYSA-N,4.896405086000001,0.08581552099999999,0.332963151,0,0,1,0.165815649,0.042736129000000005,2.4384097330000003,4.865656197,0.034078785,0.00878322,0.501147149,0.042862005,0.5440091539999999,0.022701827999999997,0.005851005,0.028552834,3.87998754,57.05733698,105,12600,9.74,45.32,33.72,4.51,5.16,19.68,2.89,8.91,9.18,162.05,240.84,142.53,98.31,43.22,197.61,55.28,0,2,2,76.142,2,16,5,0,escalate_MathematicaUniformRandom_1,1,0,0,16.86,22.52265625,1
78,2019-08-28T12_41_25.009802+00_00_LBL_A4,KFXBDBPOGBBVMC-UHFFFAOYSA-N,1.4842494030000002,0.4957391,0.417491271,0,0,1,0.208745636,0.24786955,0.7421247009999999,5.432710551,0.038423846,0.045625392,0.136603026,0.084049239,0.220652265,0.033805863,0.040141889,0.073947752,0.842159255,2.994013185,105,12600,9.74,45.32,33.72,4.51,5.16,19.68,2.89,8.91,9.18,162.05,240.84,142.53,98.31,43.22,197.61,55.28,0,2,2,76.142,2,16,5,0,escalate_MathematicaUniformRandom_1,1,0,1,16.86,22.52265625,1
79,2019-08-28T12_41_25.009802+00_00_LBL_C8,KFXBDBPOGBBVMC-UHFFFAOYSA-N,5.596557935,0.7179442709999999,0.520075149,0,0,1,0.261077725,0.360408024,2.809472083,4.236437533999999,0.061626714000000006,0.085073371,0.663168537,0.146700086,0.809868623,0.0370538,0.051151382999999995,0.088205183,0.7243948729999999,7.795253978,105,12600,9.74,45.32,33.72,4.51,5.16,19.68,2.89,8.91,9.18,162.05,240.84,142.53,98.31,43.22,197.61,55.28,0,2,2,76.142,2,16,5,0,escalate_MathematicaUniformRandom_1,1,0,0,16.86,22.52265625,1
80,2019-09-05T19_43_09.232228+00_00_LBL_F1,VAWHFUNJDMQUSB-UHFFFAOYSA-N,2.067347382,1.305454404,2.171594801,0,0,1,1.085797401,0.652727202,1.033673691,3.732611481,0.290894835,0.174871455,0.276930427,0.46576629,0.7426967170000001,0.22780789699999998,0.13694673699999999,0.36475463399999997,1.6634780919999999,1.583622818,105,12600,9.76,35.18,32.51,3.64,5.52,23.07,3.25,6.7,9.53,163.85,230.55,191.91,38.63,15.05,215.5,25.84,1,1,0,88.12899999999999,1,16,0,6,escalate_MathematicaUniformRandom_1.1,0,1,1,32.51,59.51038961,1
81,2019-09-05T19_43_09.232228+00_00_LBL_F3,VAWHFUNJDMQUSB-UHFFFAOYSA-N,5.789549989,0.160640242,1.150910262,0,0,1,0.574304221,0.08015948099999999,2.888985444,4.118022227,0.139461176,0.019465529,0.7015468309999999,0.158926705,0.860473536,0.081961409,0.011439902,0.093401311,7.164520204,36.04047095,105,12600,9.76,35.18,32.51,3.64,5.52,23.07,3.25,6.7,9.53,163.85,230.55,191.91,38.63,15.05,215.5,25.84,1,1,0,88.12899999999999,1,16,0,6,escalate_MathematicaUniformRandom_1.1,0,1,0,32.51,59.51038961,1
82,2019-09-05T19_43_09.232228+00_00_LBL_E4,VAWHFUNJDMQUSB-UHFFFAOYSA-N,0.902957338,0.98679006,2.036870017,0,0,1,1.016398139,0.49240824,0.450575711,4.26035791,0.238571068,0.115579078,0.105760061,0.354150147,0.459910207,0.21575301600000002,0.104524555,0.32027757100000004,2.064137144,0.915045027,105,12600,9.76,35.18,32.51,3.64,5.52,23.07,3.25,6.7,9.53,163.85,230.55,191.91,38.63,15.05,215.5,25.84,1,1,0,88.12899999999999,1,16,0,6,escalate_MathematicaUniformRandom_1.1,0,1,0,32.51,59.51038961,1
83,2019-09-05T19_43_09.232228+00_00_LBL_C12,VAWHFUNJDMQUSB-UHFFFAOYSA-N,1.3782315880000002,0.306896298,1.709356681,0,0,1,0.854678341,0.153448149,0.6891157940000001,4.721428882,0.18102111899999998,0.032500362000000005,0.145954924,0.21352148199999998,0.359476406,0.157965305,0.028360943,0.186326248,5.569818502,4.490870678,105,12600,9.76,35.18,32.51,3.64,5.52,23.07,3.25,6.7,9.53,163.85,230.55,191.91,38.63,15.05,215.5,25.84,1,1,0,88.12899999999999,1,16,0,6,escalate_MathematicaUniformRandom_1.1,0,1,1,32.51,59.51038961,1
84,2019-09-05T19_43_09.232228+00_00_LBL_G10,VAWHFUNJDMQUSB-UHFFFAOYSA-N,5.978050417,0.37485471600000003,1.649345456,0,0,1,0.8263220729999999,0.187802212,2.9950032589999998,3.61915799,0.228318873,0.051891134000000005,0.8275414520000001,0.280210007,1.1077514590000002,0.124932254,0.028393957,0.153326211,4.399959203,15.947646300000002,105,12600,9.76,35.18,32.51,3.64,5.52,23.07,3.25,6.7,9.53,163.85,230.55,191.91,38.63,15.05,215.5,25.84,1,1,0,88.12899999999999,1,16,0,6,escalate_MathematicaUniformRandom_1.1,0,1,0,32.51,59.51038961,1
